"EDR127830","CIL 04, 08564b (1)<br>Tyche, 27, 2012, p. 104 (P. Kruschwitz, V. Campbell, and M. Nicholls) (2)"
"EDR127845","CIL 04, 08642 (1) "
"EDR128016","CIL 04, 08572 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 133 con facsimile (2)"
"EDR128051","CIL 04, 08675a (1)"
"EDR128060","CIL 04, 08601 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 136 con foto (2)"
"EDR128543","CIL 04, 08188 (1)<br>"
"EDR128544","CIL 04, 08198 (1)"
"EDR128550","CIL 04, 08205a (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 49 con foto (2)"
"EDR128663","CIL 04, 08570 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131 con facsimile del testo per striae 15-16 (2)"
"EDR128117","CIL 04, 08626c (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146, con imagine (2)"
"EDR127405","CIL 04, 08562 (1)<br>"
"EDR127831","CIL 04, 08564c (1)"
"EDR128290","CIL 04, 08561b (1)"
"EDR128661","CIL 04, 08565a (1)"
"EDR128733","CIL 04, 08565b (1)"
