"EDR140147","Textus secundum (1), contulerunt et mensuras prehenderunt Hicks, Rebman, Nyhuis, Rasmussen, Helms, Campbell, et Frampton a. 2014. <br>vv. 1-2: II scriptum pro littera E.<br>v. 1: AS non legitur a. 2014. sub verbo CONCLAVE sunt litterae aut vestigia, quae secundum (1) COANA videntur, sed vidimus tantum N.<br>v. 2: [---]LE CONSITONT (2); Della Corte apud (1) [NAVIC]UL(A)E CONVI(C)TORES HERCULANE(N)SES NAV(I)CULAE; Maiuri apud (1) [NAVICULA]RII CONSI(S)TONT. CONSITONT pro CONSISTUNT; HERCULANESES pro HERCULANENSES; NAVCULAE pro NAVICULAE.     "
"EDR140168","Textus et mensurae secundum (1)"
"EDR140172","Textus secundum (1) <br>v. 2: II scriptum pro littera E"
"EDR140174","Textus et mensurae secundum (1), contulerunt et non invenerunt Hicks, Rebman, Rasmussen, Nyhuis, Helms a. 2014."
"EDR140187","Textus secundum (1)"
"EDR140224","Textus et mensurae secundum (1), lapsu tectorii periit (2) <br>vv. 1-2: II scriptum pro littera E<br>v. 2: tributus est titulo 10534, nam illius littera S extra eadem est ac littera, qua hic incipit SALVTEM (2).<br>Prope EDR140213, EDR140217, EDR140219, EDR140221, EDR140223, EDR140226, EDR140237, EDR140232, EDR140233 "
"EDR140669","Textus secundum (2), contulerunt et mensuras prehenderunt Hicks, Rebman, Rasmussen, Nyhuis, Helms (HGP) a. 2014.<br>Della Corte apud (1): RUFULA P(ONDO) V S(EMIS?), sed Ciprotti apud (1) non sequitur, qui potius &#931; ad Hor. S. 1.7.1 de usu PUS confert. "
"EDR140037","Textus et mensurae secundum (1), contulit ad imaginem in (2) Lundqvist a. 2014<br>"
"EDR140055","Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, Lundquist a. 2014. Supra EDR140136 et EDR140246.<br>30 tally marks in total, all connected with a lengthy underline."
"EDR140125","Textus secundum (1), contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmermann Damer a. 2014.<br>Prope EDR140124, EDR140129, EDR140146"
"EDR140129","Textus secundum (1), contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmermann Damer a. 2014.<br>Prope EDR140214, EDR140215, EDR140146"
"EDR140132","Textus secundum (2), contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmermann Damer a. 2014. <br>v. 1: Mam(ius?) apud (1) "
"EDR140135","Textus secundum (2), contulerunt et mensuras prehenderunt Beall, Bey IV, Mccrory, Opdenhoff, Tomasi, Zimmermann Damer (HGP) a. 2014."
"EDR140136","Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, et Lundquist a. 2014.<br>Infra EDR140055 et prope EDR140246"
"EDR140140","Textus secundum (1), contulerunt et mensuras prehenderunt Loar, Liu, Lundquist, Clikeman, King a. 2014.<br>v. 1: Litterae Q et T paene evanuerunt."
"EDR140143","Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, Lundquist a. 2014"
"EDR140148","Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, et Lundquist a. 2014."
"EDR140165","Textus secundum (1)<br>v. 1-3: Della Corte apud (1): Am(andus?)/ Surus/ Ianua(ri) va(le)"
"EDR140171","Textus et mensurae secundum (1) <br>v. 1-2: Della Corte apud (1): Saturnina[e]/ matr(i) uncus (detur?)<br>v. 1: lat.: 23,6; litt. alt.: 2,9-6,7<br>v. 2: lat.: 19,6; litt. alt.: 1,7-4,5<br>v. 3: lat.: 9,2; litt. alt.: 2,5-5,0"
"EDR140177","Textus et mensurae secundum (1), contulerunt et non invenerunt Helms, Hicks, Nyhuis, Rasmussen, Rebman a. 2014.<br>v. 1: lat.: 47,6; litt. alt.: 4,0-16,0<br>v. 2: lat.: 23,2; litt. alt.: 2,1-5,0<br>Prope EDR140173 et EDR140176"
"EDR140190","Textus secundum (1), contulerunt et non invenerunt Helms, Hicks, Nyhuis, Rasmussen, et Rebman a. 2014.<br>v. 2: gladiator ad loc. CIL 04, 04307 ""Saturia"" vocatur"
"EDR140197","Textus secundum (1)<br>v. 1: Rom(a?), Rom(anus?), Rom(ulus?)<br>Prope EDR140195, EDR140200, EDR140206"
"EDR140198","Textus secundum (1), contulerunt (sed vestigia) et mensuras prehenderunt Clikeman, King, Liu, Loar, et Lundquist a. 2014.<br>v. 1: ANICIAE scriptum litteris scariphatis. <br>v. 1: FELICITER olim scriptum carbone, nunc periit; II scriptum pro littera E."
